dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio,eager_peak_mem,dynamo_peak_mem,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks
cuda,BERT_pytorch,32,0.9460,15.1199,1.9159,1.0264,0.9776,0.9524,538,1,0,0
cuda,Background_Matting,1,0.9944,22.3382,1.0740,1.3110,1.0432,0.7958,183,1,0,0
cuda,DALLE2_pytorch,0,0.0000
cuda,LearningToPaint,256,0.9918,9.8947,0.5329,1.0000,1.0753,1.0753,71,1,0,0
cuda,Super_SloMo,8,0.9975,65.9104,1.4769,1.2777,1.6692,1.3063,374,1,0,0
cuda,alexnet,1024,0.9985,22.0500,1.4243,1.0000,1.7439,1.7439,22,1,0,0
cuda,attention_is_all_you_need_pytorch,0,0.0000
cuda,dcgan,1024,0.9938,4.8686,0.3431,1.0000,0.9286,0.9286,13,1,0,0
cuda,demucs,32,0.9995,97.9167,0.3850,0.8934,7.1786,8.0351,63,4,2,1
cuda,densenet121,64,0.9698,20.3285,2.4974,1.1470,0.4008,0.3495,431,1,0,0
cuda,detectron2_fasterrcnn_r_101_c4,0,0.0000
cuda,detectron2_fasterrcnn_r_101_dc5,0,0.0000
cuda,detectron2_fasterrcnn_r_101_fpn,0,0.0000
cuda,detectron2_fasterrcnn_r_50_c4,0,0.0000
cuda,detectron2_fasterrcnn_r_50_dc5,0,0.0000
cuda,detectron2_fasterrcnn_r_50_fpn,0,0.0000
cuda,detectron2_fcos_r_50_fpn,0,0.0000
cuda,detectron2_maskrcnn_r_101_c4,0,0.0000
cuda,detectron2_maskrcnn_r_101_fpn,0,0.0000
cuda,detectron2_maskrcnn_r_50_c4,0,0.0000
cuda,detectron2_maskrcnn_r_50_fpn,0,0.0000
cuda,dlrm,1,0.9554,0.6881,0.3594,1.0000,4.1256,4.1256,36,1,0,0
cuda,doctr_det_predictor,0,0.0000
cuda,doctr_reco_predictor,0,0.0000
cuda,drq,0,0.0000
cuda,fastNLP_Bert,16,0.9790,53.6109,3.1111,1.0617,1.5742,1.4828,435,5,4,2
cuda,functorch_dp_cifar10,0,0.0000
cuda,functorch_maml_omniglot,0,0.0000
cuda,hf_Albert,16,0.9978,28.7123,2.0542,1.0229,0.5626,0.5500,436,1,0,0
cuda,hf_Bart,8,0.9643,21.4495,3.5888,0.9090,1.5735,1.7311,649,16,25,7
cuda,hf_Bert,8,0.8982,13.9028,3.6213,1.0087,0.7258,0.7195,367,1,0,0
cuda,hf_Bert_large,0,0.0000
cuda,hf_BigBird,4,0.9925,122.0097,9.3271,0.8572,2.2430,2.6166,3001,64,56,5
cuda,hf_DistilBert,16,0.9692,13.9389,1.7308,1.0156,0.8171,0.8045,203,1,0,0
cuda,hf_GPT2,16,0.9850,93.5615,3.5295,1.0000,3.1233,3.1233,647,1,0,0
cuda,hf_GPT2_large,0,0.0000
cuda,hf_Longformer,4,0.9991,170.5785,6.7360,0.3901,2.3212,5.9503,1710,159,126,6
cuda,hf_Reformer,8,0.9925,26.5724,2.7818,0.7321,0.7143,0.9756,522,44,26,3
cuda,hf_T5,4,0.9772,98.7574,4.3648,0.6714,2.4164,3.5993,876,36,10,4
cuda,hf_T5_base,0,0.0000
cuda,hf_T5_large,0,0.0000
cuda,lennard_jones,0,0.0000
cuda,llama,0,0.0000
cuda,maml,1,0.8337,30.2527,1.5627,0.9733,0.0547,0.0562,137,12,5,3
cuda,maml_omniglot,32,0.8632,0.4725,0.2316,1.0000,0.0114,0.0114,14,1,0,0
cuda,mnasnet1_0,128,0.9836,11.9138,1.5790,1.0472,0.4658,0.4448,152,1,0,0
cuda,mobilenet_v2,128,0.9878,12.3678,1.0001,1.0717,0.7682,0.7168,153,1,0,0
cuda,mobilenet_v3_large,128,0.9782,10.7085,1.1837,1.1010,0.5715,0.5190,187,1,0,0
cuda,moco,64,0.9882,48.1211,22.8191,1.0356,1.4857,1.4346,729,78,73,7
cuda,nvidia_deeprecommender,512,0.9947,3.8938,0.2540,1.0010,3.2691,3.2659,13,1,0,0
cuda,opacus_cifar10,512,0.9644,2.6887,3.2389,1.2447,0.2302,0.1849,69,1,0,0
cuda,phlippe_densenet,0,0.0000
cuda,phlippe_resnet,0,0.0000
cuda,pyhpc_equation_of_state,1048576,0.9948,6.0075,0.4584,1.3731,0.7964,0.5800,366,1,0,0
cuda,pyhpc_isoneutral_mixing,1048576,0.9958,8.2778,1.1239,1.0963,0.7544,0.6882,744,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,0.9850,7.2895,1.1487,1.0415,0.6455,0.6198,994,1,0,0
cuda,pytorch_CycleGAN_and_pix2pix,1,0.9720,3.6347,0.5213,1.0000,0.1474,0.1474,91,1,0,0
cuda,pytorch_stargan,16,0.9893,6.8791,0.9966,1.0494,0.2898,0.2762,56,1,0,0
cuda,pytorch_unet,4,0.9982,67.7985,0.6426,1.5930,5.3289,3.3452,71,1,0,0
cuda,resnet152,0,0.0000
cuda,resnet18,256,0.9946,16.3998,1.1507,1.0000,1.1363,1.1363,69,1,0,0
cuda,resnet50,64,0.9898,14.0072,1.1478,1.0000,0.5154,0.5154,175,1,0,0
cuda,resnext50_32x4d,64,0.9918,17.4438,1.0343,1.0000,0.5085,0.5085,175,1,0,0
cuda,shufflenet_v2_x1_0,128,0.9814,7.2587,1.1578,1.0000,0.2694,0.2694,271,1,0,0
cuda,soft_actor_critic,0,0.0000
cuda,speech_transformer,1,0.9601,14.0120,2.1253,1.0551,0.4821,0.4569,767,9,9,2
cuda,squeezenet1_1,256,0.9940,14.5711,0.3492,1.0000,1.0595,1.0595,66,1,0,0
