dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,CachingAutotuner.benchmark_all_configs
cuda,res2next50,128,11.614864,9.700826,7.212891,3.592862,1.354964,2.075247,0.924954,0.663647,0.041572,0.000006
cuda,resmlp_12_224,128,6.425572,5.461461,2.767212,2.017431,0.313354,1.673026,0.262478,0.234812,0.022928,0.000005,4.174948
cuda,resnest101e,64,19.552572,15.596143,13.028029,6.941541,2.476292,4.184830,1.860940,1.232361,0.089333,0.000007,6.068309
cuda,rexnet_100,128,11.167192,8.346884,5.812026,3.340538,0.919812,2.121083,0.760033,0.533799,0.042409,0.000007,4.518023
cuda,sebotnet33ts_256,64,13.973426,11.600357,9.036401,7.100241,1.864087,5.149245,2.655154,0.944484,0.032323,0.000004,4.170615
cuda,selecsls42b,128,7.709453,6.835274,4.174400,2.707392,0.525599,2.114766,0.306075,0.215762,0.021812,0.000006,1.835098
cuda,spnasnet_100,128,9.314649,6.862905,4.312847,2.079917,0.996284,0.980232,0.373970,0.294351,0.029124,0.000005
cuda,swin_base_patch4_window7_224,64,23.802915,18.352028,15.779269,12.067729,2.054033,9.851701,4.741166,2.625659,0.084559,0.000006,10.425808
cuda,swsl_resnext101_32x16d,32,11.485025,9.468546,6.929577,3.179165,1.282349,1.530105,0.610490,0.454035,0.045701,0.000007,1.147603
cuda,tf_efficientnet_b0,128,9.919161,7.572730,5.001894,2.860573,1.041667,1.726756,0.639230,0.451887,0.038436,0.000005,2.132103
cuda,tf_mixnet_l,128,15.351231,10.553731,7.964757,4.553099,1.188485,3.223207,1.389673,1.050688,0.067398,0.000006,1.761306
cuda,tinynet_a,128,10.703773,8.099217,5.534593,3.036585,1.161507,1.765362,0.678205,0.468817,0.043771,0.000006,2.398773
cuda,tnt_s_patch16_224,128,15.737082,13.359811,10.801323,7.672069,1.617397,5.908165,2.552622,1.080308,0.080769,0.000005,4.843160
cuda,twins_pcpvt_base,64,18.134092,14.991616,12.371598,8.222577,1.890854,6.152337,2.615781,1.339365,0.110575,0.000019,38.796858
cuda,visformer_small,128,7.864270,6.514983,3.982836,2.452715,0.748866,1.631310,0.775946,0.362228,0.031590,0.000005,1.760507
cuda,vit_base_patch16_224,64,7.501577,6.169275,3.622299,2.261173,0.614147,1.586766,0.873791,0.425072,0.036538,0.000004
cuda,volo_d1_224,64,15.457121,11.298380,8.786417,6.369157,1.507893,4.742460,2.063506,1.009570,0.063215,0.000007,3.952024
cuda,xcit_large_24_p8_224,5,19.980472,16.322582,13.695714,8.197769,2.622038,5.324480,2.772534,1.500398,0.115732,0.000007,4.674664
