dev,name,batch_size,_compile,OutputGraph.call_user_compiler
cuda,adv_inception_v3,128,2.505806,0.000121
cuda,beit_base_patch16_224,64,1.603400,0.000170
cuda,botnet26t_256,128,3.371627,0.000139
cuda,cait_m36_384,4,3.938795,0.000425
cuda,coat_lite_mini,128,1.565479,0.000145
cuda,convit_base,64,1.820029,0.000157
cuda,convmixer_768_32,32,1.548115,0.000097
cuda,convnext_base,64,4.429082,0.000185
cuda,crossvit_9_240,128,2.194382,0.000191
cuda,cspdarknet53,64,3.465376,0.000198
cuda,deit_base_distilled_patch16_224,64,2.902882,0.000127
cuda,dla102,128,2.539722,0.000154
cuda,dm_nfnet_f0,128,3.385563,0.000220
cuda,dpn107,32,5.911987,0.000280
cuda,eca_botnext26ts_256,128,1.979794,0.000147
cuda,eca_halonext26ts,128,3.060672,0.000156
cuda,ese_vovnet19b_dw,128,1.516977,0.000097
cuda,fbnetc_100,128,2.472670,0.000174
cuda,fbnetv3_b,128,3.738263,0.000225
cuda,gernet_l,128,3.901469,0.000172
cuda,ghostnet_100,128,2.154295,0.000132
cuda,gluon_inception_v3,128,2.443680,0.000114
cuda,gluon_xception65,32,3.530397,0.000126
cuda,gmixer_24_224,128,2.047985,0.000214
cuda,gmlp_s16_224,128,2.114891,0.000153
cuda,hrnet_w18,128,8.665651,0.000415
cuda,inception_v3,128,2.416426,0.000122
cuda,jx_nest_base,32,3.422815,0.000197
cuda,lcnet_050,128,1.305043,0.000095
cuda,levit_128,128,2.621205,0.000167
cuda,mixer_b16_224,128,1.689464,0.000085
cuda,mixnet_l,128,5.241648,0.000226
cuda,mnasnet_100,128,2.136418,0.000135
cuda,mobilenetv2_100,128,2.850613,0.000135
cuda,mobilenetv3_large_100,128,2.963983,0.000134
cuda,mobilevit_s,64,2.528259,0.000207
cuda,nfnet_l0,128,2.681061,0.000215
cuda,pit_b_224,64,2.622885,0.000137
cuda,pnasnet5large,16,8.738964,0.000276
cuda,poolformer_m36,64,4.173848,0.000231
cuda,regnety_002,128,2.503008,0.000161
cuda,repvgg_a2,128,2.727543,0.000162
cuda,res2net101_26w_4s,64,4.422556,0.000239
cuda,res2net50_14w_8s,128,3.077277,0.000212
cuda,res2next50,128,1.967218,0.000141
cuda,resmlp_12_224,128,1.927105,0.000103
cuda,resnest101e,64,4.167083,0.000294
cuda,rexnet_100,128,2.832484,0.000164
cuda,sebotnet33ts_256,64,3.323147,0.000182
cuda,selecsls42b,128,1.008242,0.000075
cuda,spnasnet_100,128,2.407731,0.000188
cuda,swin_base_patch4_window7_224,64,4.695533,0.000369
cuda,swsl_resnext101_32x16d,32,2.184884,0.000146
cuda,tf_efficientnet_b0,128,2.305298,0.000182
cuda,tf_mixnet_l,128,5.657576,0.000237
cuda,tinynet_a,128,2.717409,0.000170
cuda,tnt_s_patch16_224,128,2.408403,0.000229
cuda,twins_pcpvt_base,64,3.125092,0.000274
cuda,visformer_small,128,1.486829,0.000120
cuda,vit_base_patch16_224,64,1.990285,0.000126
cuda,volo_d1_224,64,1.963003,0.000181
cuda,xcit_large_24_p8_224,5,5.716710,0.000341
