dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio,eager_peak_mem,dynamo_peak_mem,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks
cuda,adv_inception_v3,128,0.9880,60.5787,2.5051,1.0003,2.6032,2.6025,313,1,0,0
cuda,beit_base_patch16_224,64,0.9921,43.7717,1.5982,1.0655,1.2602,1.1827,468,1,0,0
cuda,botnet26t_256,128,0.9769,43.5639,3.3726,1.1393,2.1907,1.9228,305,1,0,0
cuda,cait_m36_384,4,0.9884,84.3161,3.9269,1.0086,2.5012,2.4800,1341,1,0,0
cuda,coat_lite_mini,128,0.9915,41.5483,1.5608,1.1027,2.2074,2.0018,459,1,0,0
cuda,convit_base,64,0.9945,66.1477,1.8076,1.1577,1.7252,1.4903,497,1,0,0
cuda,convmixer_768_32,32,0.9962,103.6777,1.5469,1.1936,0.6206,0.5199,230,1,0,0
cuda,convnext_base,64,0.9741,93.6005,4.4300,1.1431,2.7139,2.3742,494,1,0,0
cuda,crossvit_9_240,128,0.9715,30.7812,2.1917,1.0511,1.0968,1.0435,599,1,0,0
cuda,cspdarknet53,64,0.9322,35.8532,3.4685,1.6402,2.7506,1.6770,371,1,0,0
cuda,deit_base_distilled_patch16_224,64,0.9917,41.6095,2.9011,1.0665,1.2637,1.1849,376,1,0,0
cuda,dla102,128,0.9876,70.7979,2.5377,1.0000,2.0702,2.0702,415,1,0,0
cuda,dm_nfnet_f0,128,0.9837,117.7125,3.3743,1.1744,4.3214,3.6797,615,1,0,0
cuda,dpn107,32,0.9535,58.9418,5.9087,1.2334,1.5576,1.2628,631,1,0,0
cuda,eca_botnext26ts_256,128,0.9733,43.1064,1.9872,1.1405,2.1744,1.9065,335,1,0,0
cuda,eca_halonext26ts,128,0.9747,44.4764,3.0657,1.1404,2.1757,1.9078,359,1,0,0
cuda,ese_vovnet19b_dw,128,0.9571,25.8671,1.5233,1.4965,2.4778,1.6557,133,1,0,0
cuda,fbnetc_100,128,0.9600,26.1389,2.4744,1.1424,1.6490,1.4435,314,1,0,0
cuda,fbnetv3_b,128,0.9592,40.9143,3.7397,1.1984,1.6217,1.3533,519,1,0,0
cuda,gernet_l,128,0.9533,39.2310,3.9022,1.0000,1.5356,1.5356,348,1,0,0
cuda,ghostnet_100,128,0.9578,16.9531,2.1545,1.1107,1.0312,0.9285,323,1,0,0
cuda,gluon_inception_v3,128,0.9888,60.4808,2.4419,1.0003,2.6032,2.6025,313,1,0,0
cuda,gluon_xception65,32,0.9821,50.4778,3.5284,1.4492,1.7863,1.2326,352,1,0,0
cuda,gmixer_24_224,128,0.9861,48.2302,2.0496,1.1624,0.8314,0.7153,631,1,0,0
cuda,gmlp_s16_224,128,0.9841,56.0714,2.1167,1.0706,0.7867,0.7348,487,1,0,0
cuda,hrnet_w18,128,0.9778,88.6334,8.6599,1.0655,1.6724,1.5697,1369,1,0,0
cuda,inception_v3,128,0.9889,60.4569,2.4150,1.0003,2.6032,2.6025,313,1,0,0
cuda,jx_nest_base,32,0.9639,42.8338,3.4160,1.1099,1.5883,1.4310,674,1,0,0
cuda,lcnet_050,128,0.8975,5.3863,1.3048,1.2847,0.4945,0.3849,137,1,0,0
cuda,levit_128,128,0.8924,11.8585,2.6250,1.0000,0.5538,0.5538,565,1,0,0
cuda,mixer_b16_224,128,0.9942,57.6574,1.6902,1.1728,1.5693,1.3381,223,1,0,0
cuda,mixnet_l,128,0.9721,61.6972,5.2375,1.1528,3.1013,2.6902,615,1,0,0
cuda,mnasnet_100,128,0.9589,20.8162,2.1375,1.3774,1.1251,0.8168,248,1,0,0
cuda,mobilenetv2_100,128,0.9560,20.1457,2.8551,1.2161,1.7346,1.4263,248,1,0,0
cuda,mobilenetv3_large_100,128,0.9458,16.8391,2.9663,1.1994,1.2364,1.0309,265,1,0,0
cuda,mobilevit_s,64,0.9477,28.9482,2.5343,1.1640,1.4292,1.2279,483,1,0,0
cuda,nfnet_l0,128,0.9873,105.2242,2.6721,1.3942,3.6039,2.5849,546,1,0,0
cuda,pit_b_224,64,0.9879,54.3764,2.6201,1.0667,3.0217,2.8326,422,1,0,0
cuda,pnasnet5large,16,0.9667,82.6532,8.7343,1.4312,2.0711,1.4471,953,1,0,0
cuda,poolformer_m36,64,0.9675,69.2965,4.1690,1.1883,1.4621,1.2304,695,1,0,0
cuda,regnety_002,128,0.8735,10.9004,2.5059,1.0000,0.7823,0.7823,320,1,0,0
cuda,repvgg_a2,128,0.9528,36.6349,2.7284,1.0000,1.6246,1.6246,332,1,0,0
cuda,res2net101_26w_4s,64,0.9941,46.5257,4.4199,1.2034,1.2888,1.0709,803,1,0,0
cuda,res2net50_14w_8s,128,0.9974,59.6511,3.0766,1.2884,2.0634,1.6015,699,1,0,0
cuda,res2next50,128,0.9976,62.4771,1.9673,1.3218,2.1104,1.5966,395,1,0,0
cuda,resmlp_12_224,128,0.9787,21.9602,1.9299,1.1823,0.7565,0.6399,199,1,0,0
cuda,resnest101e,64,0.9894,68.6344,4.1638,1.0000,1.5748,1.5748,1018,1,0,0
cuda,rexnet_100,128,0.9461,27.5748,2.8357,1.2146,1.7446,1.4363,351,1,0,0
cuda,sebotnet33ts_256,64,0.9610,35.3807,3.3244,1.1865,4.2824,3.6093,422,1,0,0
cuda,selecsls42b,128,0.9960,23.8677,1.0007,1.5435,1.6617,1.0766,132,1,0,0
cuda,spnasnet_100,128,0.9531,22.2866,2.4084,1.3775,1.1249,0.8167,308,1,0,0
cuda,swin_base_patch4_window7_224,64,0.9792,75.7613,4.6879,1.3573,2.3423,1.7257,1194,1,0,0
cuda,swsl_resnext101_32x16d,32,0.9977,68.8929,2.1790,1.0101,2.5639,2.5382,411,1,0,0
cuda,tf_efficientnet_b0,128,0.9656,31.1251,2.3057,1.3185,1.9141,1.4517,318,1,0,0
cuda,tf_mixnet_l,128,0.9703,64.2614,5.6549,1.1528,3.1013,2.6902,630,1,0,0
cuda,tinynet_a,128,0.9535,24.8330,2.7191,1.2101,1.3043,1.0778,373,1,0,0
cuda,tnt_s_patch16_224,128,0.9962,149.7404,2.3977,1.2109,0.9080,0.7498,822,1,0,0
cuda,twins_pcpvt_base,64,0.9749,40.7375,3.1175,1.0799,1.4170,1.3122,1018,1,0,0
cuda,visformer_small,128,0.9915,42.6186,1.4864,1.1302,1.3376,1.1834,313,1,0,0
cuda,vit_base_patch16_224,64,0.9915,41.4341,1.9877,1.0660,1.2509,1.1734,373,1,0,0
cuda,volo_d1_224,64,0.9856,51.2096,1.9602,1.0000,0.9181,0.9181,614,1,0,0
cuda,xcit_large_24_p8_224,5,0.9704,36.1072,5.7141,1.0128,1.6966,1.6752,1191,1,0,0
